config,messages,deadline_ms,deadline_success,p50_ms,p95_ms,p99_ms,overhead,late_rate,excess_lateness_mean_ms
IID_best_effort_n1k1,1200,20.0,0.975,6.22168864098694,13.286254319964153,17.924915154606087,1.0,0.025000000000000022,0.24215284048624142
IID_best_effort_n3k1,1200,20.0,1.0,4.596839583533438,7.387966852679704,9.533830041303917,3.0,0.0,0.0
IID_tdma_n1k1,1200,20.0,0.9958333333333333,3.1633163514252374,4.504956094818044,5.311767801578207,1.0,0.004166666666666652,0.08333333333333333
IID_tdma_n3k1,1200,20.0,1.0,3.1112742850418726,4.158998131477483,4.657094936758076,3.0,0.0,0.0
IID_tdma_n4k2,1200,20.0,1.0,4.222107196763318,5.20669810151794,5.56531084004042,2.0,0.0,0.0
